datetime,net_profit,buying_cost,selling_revenue,profit_per_mwh,profit_per_mw,cycles,year,month
2020-01-01 00:00:00,36.955000000000155,989.4949999999999,1026.45,1.8477500000000078,8.212222222222257,1.55,2020,1
2020-01-02 00:00:00,99.53999999999996,1068.3,1167.84,4.9769999999999985,22.11999999999999,1.475,2020,1
2020-01-03 00:00:00,152.745,959.61,1112.355,7.63725,33.943333333333335,1.4,2020,1
2020-01-04 00:00:00,114.08000000000004,936.3249999999999,1050.405,5.704000000000002,25.35111111111112,1.475,2020,1
2020-01-05 00:00:00,173.03999999999996,911.145,1084.185,8.651999999999997,38.453333333333326,1.4,2020,1
2020-01-06 00:00:00,81.30999999999972,1037.99,1119.2999999999997,4.065499999999986,18.068888888888825,1.4,2020,1
2020-01-07 00:00:00,152.42000000000007,1131.415,1283.835,7.621000000000004,33.87111111111113,1.4,2020,1
2020-01-08 00:00:00,160.46000000000004,1129.705,1290.165,8.023000000000001,35.65777777777779,1.4,2020,1
2020-01-09 00:00:00,203.2349999999999,1236.18,1439.415,10.161749999999994,45.16333333333331,1.625,2020,1
2020-01-10 00:00:00,268.79999999999984,909.465,1178.2649999999999,13.439999999999992,59.7333333333333,1.4,2020,1
2020-01-11 00:00:00,147.45000000000005,1190.49,1337.94,7.372500000000002,32.76666666666668,1.625,2020,1
2020-01-12 00:00:00,66.55000000000018,1292.0449999999998,1358.595,3.327500000000009,14.788888888888929,1.7,2020,1
2020-01-13 00:00:00,13.25500000000011,1212.23,1225.4850000000001,0.6627500000000055,2.94555555555558,1.4,2020,1
2020-01-14 00:00:00,184.2700000000002,924.3199999999999,1108.5900000000001,9.21350000000001,40.94888888888894,1.4,2020,1
2020-01-15 00:00:00,325.1200000000001,823.865,1148.9850000000001,16.256000000000007,72.24888888888891,1.4,2020,1
2020-01-16 00:00:00,215.36,889.9599999999999,1105.32,10.768,47.857777777777784,1.4,2020,1
2020-01-17 00:00:00,228.87999999999988,902.7650000000001,1131.645,11.443999999999994,50.862222222222194,1.4,2020,1
2020-01-18 00:00:00,-13.384999999999991,995.615,982.23,-0.6692499999999996,-2.9744444444444422,1.4,2020,1
2020-01-19 00:00:00,15.084999999999809,821.0300000000001,836.1149999999999,0.7542499999999904,3.3522222222221796,1.475,2020,1
2020-01-20 00:00:00,335.05499999999995,930.4050000000001,1265.46,16.75275,74.45666666666665,1.625,2020,1
2020-01-21 00:00:00,141.58999999999992,1147.3600000000001,1288.95,7.079499999999996,31.464444444444425,1.625,2020,1
2020-01-22 00:00:00,178.95500000000015,1157.95,1336.9050000000002,8.947750000000008,39.76777777777781,1.4,2020,1
2020-01-23 00:00:00,61.44999999999959,1379.9450000000002,1441.3949999999998,3.0724999999999794,13.655555555555464,1.4,2020,1
2020-01-24 00:00:00,135.55999999999995,1416.505,1552.065,6.777999999999997,30.124444444444432,1.475,2020,1
2020-01-25 00:00:00,-32.90499999999997,1474.645,1441.74,-1.6452499999999985,-7.312222222222216,1.625,2020,1
2020-01-26 00:00:00,26.84999999999991,1011.105,1037.955,1.3424999999999954,5.966666666666646,1.4,2020,1
2020-01-27 00:00:00,103.92499999999995,988.4200000000001,1092.345,5.196249999999997,23.094444444444434,1.4,2020,1
2020-01-28 00:00:00,246.44500000000005,873.6049999999999,1120.05,12.322250000000002,54.765555555555565,1.4,2020,1
2020-01-29 00:00:00,122.58500000000004,1142.875,1265.46,6.129250000000002,27.24111111111112,1.625,2020,1
2020-01-30 00:00:00,187.31000000000006,879.745,1067.055,9.365500000000003,41.62444444444446,1.4,2020,1
2020-01-31 00:00:00,188.30500000000006,670.46,858.7650000000001,9.415250000000004,41.84555555555557,1.4,2020,1
2020-02-01 23:00:00,298.8499999999999,577.36,876.2099999999999,14.942499999999995,66.4111111111111,1.4,2020,2
2020-02-02 23:00:00,168.0550000000003,989.6399999999999,1157.6950000000002,8.402750000000015,37.34555555555562,1.425,2020,2
2020-02-03 23:00:00,112.5150000000001,914.8199999999999,1027.335,5.625750000000005,25.003333333333355,1.4,2020,2
2020-02-04 23:00:00,221.81000000000006,832.39,1054.2,11.090500000000002,49.29111111111112,1.4,2020,2
2020-02-05 23:00:00,174.14499999999998,918.23,1092.375,8.707249999999998,38.69888888888889,1.4,2020,2
2020-02-06 23:00:00,105.51999999999998,1003.335,1108.855,5.275999999999999,23.448888888888884,1.425,2020,2
2020-02-07 23:00:00,-3.7999999999999545,1377.81,1374.01,-0.18999999999999773,-0.8444444444444343,1.875,2020,2
2020-02-08 23:00:00,42.49000000000001,1033.835,1076.325,2.1245000000000003,9.442222222222224,1.85,2020,2
2020-02-09 23:00:00,340.105,657.3199999999999,997.425,17.00525,75.5788888888889,1.4,2020,2
2020-02-10 23:00:00,36.82499999999982,1088.7450000000001,1125.57,1.841249999999991,8.183333333333293,1.425,2020,2
2020-02-11 23:00:00,-70.50999999999999,1407.765,1337.255,-3.5254999999999996,-15.668888888888887,1.65,2020,2
2020-02-12 23:00:00,94.0,964.095,1058.095,4.7,20.88888888888889,1.425,2020,2
2020-02-13 23:00:00,22.58999999999969,1440.5700000000002,1463.1599999999999,1.1294999999999846,5.019999999999931,1.85,2020,2
2020-02-14 23:00:00,15.00500000000011,1084.645,1099.65,0.7502500000000054,3.3344444444444687,1.625,2020,2
2020-02-15 23:00:00,284.31500000000005,560.47,844.7850000000001,14.215750000000003,63.18111111111112,1.625,2020,2
2020-02-16 23:00:00,137.65999999999985,1049.4,1187.06,6.882999999999993,30.59111111111108,1.65,2020,2
